Year,ID,Author,Title,Embargo-Date,MMS-ID,Supplemental-Path
2009,George-Gkco9mQPFLT4XmpLm4x8qZ,Ajish Dominic George,A Locus-Based Paradigm For Generating Systems Biological Inferences From Large Scale Functional Genomics Datasets,False,9932200558904808,/media/Masters/ETD-storage/2009/George-Gkco9mQPFLT4XmpLm4x8qZ/data/George_sunyalb_0668A_185/Untitled.pdf
2009,Springer-UAjXuTTraJzaTTwX9YyLys,Deborah Jean Springer,The Unique Impact Of Environment On The Pathogenic Yeast Cryptococcus Gattii,False,9932200558104808,/media/Masters/ETD-storage/2009/Springer-UAjXuTTraJzaTTwX9YyLys/data/Springer_sunyalb_0668A_185/www03c.wmv
2010,Baker-8yc5UZKqxgC9hYkAPBjpJe,Andrea B. Baker,The Schenectady Virtual Community: Exploring The Ecology Of Political Discourse In A Local Context,False,9932226045104808,/media/Masters/ETD-storage/2010/Baker-8yc5UZKqxgC9hYkAPBjpJe/data/Baker_sunyalb_0668A_185/AppendixASurveySummary.pdf
2010,Hunter-LzBzNwSvDcPUcvsas3kWiv,Joseph S. Hunter,Effective Community-Based Chemical Dependency Treatment For Adolescents:  Matching Program Services With Individual Difference Variables,False,9932229759304808,/media/Masters/ETD-storage/2010/Hunter-LzBzNwSvDcPUcvsas3kWiv/data/Hunter_sunyalb_0668A_185/dissertationappend.pdf
2010,Nagelsmith-jXFmchLgE7nXyFTFj9pk4T,Laurie Vanessa Nagelsmith,Dependability And Accuracy Of Clinical Performance In Nursing Examination Scores,False,9932240052304808,/media/Masters/ETD-storage/2010/Nagelsmith-jXFmchLgE7nXyFTFj9pk4T/data/Nagelsmith_sunyalb_0668A_185/Excelsior09Research900k800by600_WMVV9.wmv
2010,Raja-SwCutT3VygbFdRRVEJBS2y,Waseem Khan Raja,Nanivid: A New Research Tool For Tissue Microenvironment Studies,False,9932214353504808,/media/Masters/ETD-storage/2010/Raja-SwCutT3VygbFdRRVEJBS2y/data/Raja_sunyalb_0668A_185/No-EGF-NANIVID-Nov2010.avi
2010,Shost-Vtr7K8czRcTHxrJ65gUwHV,Stephen Shost,Multiple Antibiotic Resistant Staphylococcus Spp. In Environmental Settings,False,990014986060204808,/media/Masters/ETD-storage/2010/Shost-Vtr7K8czRcTHxrJ65gUwHV/data/Shost_sunyalb_0668A_185/Key.html
2011,Little-Harrison-hseWnCGGaYAv9HF44swmDM,Natasha Little-Harrison,Assessing Teacher And Parent Support As Moderators In The Relationship Between Black High School Students' Academic Achievement And Socioeconomic Status,False,9932240053204808,/media/Masters/ETD-storage/2011/Little-Harrison-hseWnCGGaYAv9HF44swmDM/data/LittleHarrison_sunyalb_0668A_185/Dissertationpaperwork.pdf
2011,Sherman-ZXFu9f9yQ8WnYc5kqbCuK2,Colleen G. Sherman,An Evaluation Of Multiple Primary Breast And Lung Cancers,False,9932226047204808,/media/Masters/ETD-storage/2011/Sherman-ZXFu9f9yQ8WnYc5kqbCuK2/data/Sherman_sunyalb_0668N_185/IRBApprovalDocuments-CSherman.pdf
2012,Bruntfield-88pLNX5hXMEwyms8wjUvzR,Jaclyn Rose Bruntfield,"Stewards Of The Land - Demonstrations Of Agricultural Authenticity In Columbia County, Ny",False,9932177159904808,/media/Masters/ETD-storage/2012/Bruntfield-88pLNX5hXMEwyms8wjUvzR/data/Bruntfield_sunyalb_0668N_185/Index-Final.pdf
