mms_id,etd_id,xml_id,year,active embargo,author,title
9932251460004808,Acheson-KEFXwtESYtHy3YvHgA7m3o,Acheson_sunyalb_0668A_10015,2009,,Dean Thomas Acheson,Interoceptive Fear Conditioning And Panic Disorder Ii: Clarifying The Role Of Cs - Us Discrimination
9932225457904808,Adhya-hmWDiUaijuECNXfc2pSobJ,Adhya_sunyalb_0668A_10040,2009,,Soumava Adhya,Geochemical Fingerprinting Of Volcanic Airfall Deposits: A Tool In Stratigraphic Correlation
9932226044404808,Akcam-DPJXKEtrY8kTZQK29xrdeg,Akcam_sunyalb_0668A_10037,2009,,Bahadir Akcam,Socio-Technical Processes In Interorganizational Emergency Response And Recovery Process At The World Trade Center
9932214052004808,Altemus-8vP4aL2HTdcKW6WgHSTRMw,Altemus_sunyalb_0668A_10132,2009,,Bruce Adair Altemus,A Study Of Cantilever-Free Instrumentation For Nanoscale Magnetic Measurements
9932226041704808,Anderson-oVqFyXwc5tDHVmSixD72gV,Anderson_sunyalb_0668A_10057,2009,,Kimberly L. Anderson,The Effects Of Professional Development On Early Reading Skills: A Comparison Of Two Approaches To Word Solving
9932226056104808,Arenas-Basurto-bn6rseF6DpxbyHQKCqjBZ4,ArenasBasurto_sunyalb_0668A_10150,2009,,Jorge Gamaliel Arenas-Basurto,Mexican Technological Universities: Pursuing Reform And New Public-Private  Funding Mixes In A Non University Sector
9932252959304808,Asare-Gxhk4wYEzWToHEPgWeJWTM,Asare_sunyalb_0668A_10155,2009,,James Baffour Asare,Ghanaian Immigrant Children In The Bronx
9932252059104808,Basnight-Brown-26MCAPbSQFd72gBiHkGVYB,BasnightBrown_sunyalb_0668A_10152,2009,,Dana M. Basnight-Brown,"The Representation Of Multiple Translations In Bilingual Memory:  An Examination Of Lexical Organization For Concrete, Abstract,  And Emotion Words In Spanish-English Bilinguals"
9932200558404808,Beauregard-E8ijiYPBtBHhJ6itYYVPXo,Beauregard_sunyalb_0668A_10154,2009,,Arthur R. Beauregard,Opportunism And Diversity In The Lifestyle Of A Group Ii Intron
9932225457804808,Berry-QWCCnh2p75c5LkYo9gaCS3,Berry_sunyalb_0668A_10022,2009,,Gareth James Berry,African Easterly Waves And Convection
9932240258504808,Bidjerano-FjJToqcYLB6ypsP7Cdn9Gq,Bidjerano_sunyalb_0668A_10096,2009,,Morris Bidjerano,"Collaboration As Paradox: The Case Of The Patuxent River, Md  Nutrient Control Strategy"
9932226056304808,Bratge-BQ2mi6VXZott9buRiSBgjN,Bratge_sunyalb_0668A_10149,2009,,Katrina Lynn Bratge,"Sexual Harassment In Public Schools: Policy Design, Policy Implementation, And The Perceptions Of Employees Participating In Investigations"
9932200558504808,Brito-C4KMgEfgntNmyc8uAnngZp,Brito_sunyalb_0668A_10006,2009,,Daniela A. Brito,Live-Cell Studies On Mitotic Slippage In Humans
9932226056204808,Bump-ZrhKNunSj439jzhyDtJ8NN,Bump_sunyalb_0668A_10133,2009,,Karin Diann Bump,On The Fence Of Legitimacy; A Framework For Understanding And Assessing The Legitimacy Of New Academic Disciplines In U.S. Higher Education
9932241660104808,Chacón-m33rAWXfj5Z9ckUwCG6YiU,ChacxF3n_sunyalb_0668A_10058,2009,,Tonya C. Chacón,"A Survey Of School Psychology Faculty Members' Knowledge, Skills, And Attitudes Regarding Distance Education And Distance Education Technologies"
9932241660304808,Chapin-hSP7fW6gNtbTZdr2epqQJ4,Chapin_sunyalb_0668A_10142,2009,,Deborah A. Chapin,The Status Of Special Programming For Minority Youth And Children With Special Needs: A Report On The Perceptions Of Children'S Museum Education Directors
9932229959104808,Chapman-59t6xpSenL9t2ftiDrDk8d,Chapman_sunyalb_0668A_10129,2009,,Dennis Gordon Chapman,A Descriptive Analysis Of The Problems And Interventions Observed In Care Planning For Nursing Home Residents With Dementia
9932240258604808,Chiang-AMGrdYWN6eNufrwKB8DCSR,Chiang_sunyalb_0668A_10097,2009,,Ting-Wei Chiang,Organizational Learning And Nursing Home Quality Of Care  In New York State
9932238659204808,Clemente-oQSQhoZdmejzH2rd9vG3nG,Clemente_sunyalb_0668A_10029,2009,,Luis F. Clemente,Party System Stability In Latin America: A Comparative Study
9932225457704808,Czikowsky-CWuE3YBABAhbYwDTcu2AXu,Czikowsky_sunyalb_0668A_10016,2009,,Matthew Czikowsky,Observations Of The Transient Characteristics Of The Hydrological Balance
9932240359404808,Dalton-HdMMijH2vagMezGzcsdTRd,Dalton_sunyalb_0668A_10026,2009,,Angela Chen Dalton,"Critical Mass Or Critical Acts? An Empirical Test Of The Relationship Between The Presence Of Women In State Legislatures And Their Policy Impact On Agenda Setting And Legislative Success In Fifty States, 1995 And 2005"
9932238659304808,Dalton-XtpEXek2Z5fy9UXjQXRvM6,Dalton_sunyalb_0668A_10055,2009,,Kathleen Marie Dalton,"Federalism, Intergovernmental Relations And Implementation: A Broad Examination Of The Politics Of Medicaid Disenrollment"
9932242956904808,Deihl-U88NEZUQquhz7izpQXhzmZ,Deihl_sunyalb_0668A_10059,2009,,Laura M Deihl,The Relevance Of The Supervisory Working Alliance To Burnout And Vigor Among Residential Frontline Staff
9932197957504808,Denvir-FFYQdFc4DHrFmUvUd3W64k,Denvir_sunyalb_0668A_10158,2009,,Paul Michael Denvir,Physician-Patient Communication About Patients' Sexual Activities And Substance Use: Information Exchange On Potentially Delicate Matters
9932241645704808,Donahue-SNh5Jch4Kn8oEdzypf4yUZ,Donahue_sunyalb_0668A_10116,2009,,Mary P. Donahue,Investigating The Grief Process Related To Job Loss
9932225458004808,Du-dVNaM2kmFiWuzCHL9nByQj,Du_sunyalb_0668A_10028,2009,,Hua Du,Mechanistic Study Of Nanoparticle Formation In Vehicle Exhaust And Laboratory Experiments
9932241757904808,Duffy-Paiement-4Js3bLPULpPhhF92tiT6CE,DuffyPaiement_sunyalb_0668A_10131,2009,,Christy Duffy-Paiement,Disordered Eating Among Collegiate Female Athletes: The Role Of Athletic Seasonal Status And Self-Objectification
9932251460104808,Dulgar-Tulloch-bXmaNu6xTKdapk7mE34jJw,DulgarTulloch_sunyalb_0668A_10074,2009,,Lisa H. Dulgar-Tulloch,An Assessment Of The Positive Aspects Of Depression
9932241856904808,Dutt-jJuLT6NrEiATcV6uU2pXSB,Dutt_sunyalb_0668A_10031,2009,,Komal Dutt,The Effect Of Family Allocentrism And Acculturation On The Tendency To Foreclose In Second Generation Indian College Students
9932178250904808,Ehrhard-EdG3dU9resABk4Z6afeGtb,Ehrhard_sunyalb_0668A_10120,2009,,Susan Ehrhard,Pleading Guilty For Life: An Exploration Of Plea Bargaining In The Face Of Death
990014585770204808,Eifert-9f8sCxsJG4qQMu2QB9HnCa,Eifert_sunyalb_0668A_10013,2009,,Cheryl Lynne Eifert,An Rnai Screen Targeting The Protein Tyrosine Kinases Identifies Bruton'S Tyrosine Kinase (Btk) As A Breast Cancer Cell Survival Factor
9932229958604808,Eversman-jB5H7wtUYAfEm7PB6HdNrj,Eversman_sunyalb_0668A_10064,2009,,Michael Eversman,Harm Reduction In Outpatient Drug-Free Substance Abuse Treatment Settings
9932177244004808,Ficociello-Jrp5srSgLiKQRsuDiMxBhx,Ficociello_sunyalb_0668A_10070,2009,,Robert Michael Ficociello,The Cultural And Literary Discourse Of War In 20Th Century America
9932177132604808,Filatov-28GqgBYi7WP5aDBKqsgRbK,Filatov_sunyalb_0668A_10008,2009,,Alexander S. Filatov,Bowl-Shaped Polyaromatic Hydrocarbons (Buckybowls):  Crystal Packing And Metal Binding Reactions
9932113555004808,Fleischer-9CDt2yTLoMPax4UBm8ydno,Fleischer_sunyalb_0668A_10023,2009,,David Ivan Rezende Fleischer,"Ecotourism, Sea Turtles And Livelihoods: Adaptation And Resistance To Development And Conservation In Mexico And Brazil"
9932200757104808,Forbes-o7BXgFfscyFGpcxV92Y6KQ,Forbes_sunyalb_0668A_10144,2009,,Stephen J Forbes,Effect Of Anti-Lipopolysaccharide Iga Antibodies On The Virulence And Physiology Of Salmonella Enterica And Shigella Flexneri
9932200858904808,Frampton-MTumqmyGYC3jdoXnoMyQvn,Frampton_sunyalb_0668A_10065,2009,,John P. Frampton,Three-Dimensional Hydrogel Cell Culture Systems For Modeling Neural Tissue
9932200756904808,Fu-gafRH8q32n4V5JqaiVpoqK,Fu_sunyalb_0668A_10094,2009,,Jie Fu,Study Of Dynamic Processes In Protein Synthesis Using Heterogeneous Ribosome Specimens
9932240252804808,Gallo-7nWHAEhSnL6WHWuygxiCAt,Gallo_sunyalb_0668A_10011,2009,,Jason Gallo,The Role Of Attachment And Social Support In Vocational Maturity
9932200558904808,George-Gkco9mQPFLT4XmpLm4x8qZ,George_sunyalb_0668A_10095,2009,,Ajish Dominic George,A Locus-Based Paradigm For Generating Systems Biological Inferences From Large Scale Functional Genomics Datasets
9932241659804808,Gleason-ZtKTe3NJXHGdGU5o9ADteo,Gleason_sunyalb_0668A_10089,2009,,Cecile Gleason,An Examination Of Changes In Classroom Teacher Behaviors When Implementing An Individualized Behavior Support Plan For A Preschooler With Challenging Behavior
9932226044604808,Goel-nFHTLRjzKs3cXt83dmQSr5,Goel_sunyalb_0668A_10086,2009,,Sunita Goel,Qualitative Information In Annual Reports & The Detection Of Corporate Fraud: A Natural Language Processing Perspective
9932177357804808,Goldberg-KRFULXbRNagW2PN9cpbiGz,Goldberg_sunyalb_0668A_10012,2009,,Shari Goldberg,"Quiet Testimony: The Ethical Impulse Of Silence In Emerson, Douglass, Melville And James"
9932174757504808,Goncharov-LySPexHdZYeQ3bzgQ9gf3p,Goncharov_sunyalb_0668A_10160,2009,,Alexey Borislavovich Goncharov,The Assessment Of Associations Between Organochlorine Pollutants And Hypertension And Blood Pressure Among Anniston (Alabama) Residents
9932238659104808,Gonzalez-Murphy-KjtzSoC6kYxqtAekpajBxU,GonzalezMurphy_sunyalb_0668A_10081,2009,,Laura Valeria Gonzalez-Murphy,Change And Continuity In Mexico'S Immigration Policy: How Civil Society Organizations Influence The Policy Process
9932240252504808,Gottheim-arHN9P5aF3cR4YSaxkc22j,Gottheim_sunyalb_0668A_10112,2009,,Cara Pharr Gottheim,"Self-Esteem, Self-Compassion, Defensive Self-Esteem, And Related Features Of Narcissism As Predictors Of Aggression"
9932252959204808,Gremmler-UPUUA4d2NkgsUMhPYrwNio,Gremmler_sunyalb_0668A_10191,2009,,Daniel Edward Gremmler,The Archaeology And Translation Of Greek Tragedy: Tragedy And The Emotions
990014758710204808,Guler-KggApRgzfj7TRq738xa3dE,GULER_sunyalb_0668A_10091,2009,,Ahmet Guler,Explaining Torture And Its Reduction In A Police Department: A View From Below
9932206753504808,Gusa-kyhqAKwHu59ipd87VjVnJx,Gusa_sunyalb_0668A_10035,2009,,Diane Lynn Gusa,White Institutional Presence: The Impact Of Whiteness On Campus Climate & The Relational Context Of White Institutional Presence
9932240252404808,Harewood-3TLiBPpqL3Gd2MTyiPgxuR,Harewood_sunyalb_0668A_10147,2009,,Janice E. Harewood,Social And Personal Determinants Of Help-Seeking Intentions Among Black College Students
9932241748004808,Harris-9ZAguMdfWm8Q53c7nz2C85,Harris_sunyalb_0668A_10102,2009,,Kristin Kay-Kelchak Harris,"Cue Reactivity In Smokers, Gamblers, And Smoking Gamblers"
990014554020204808,Hatmaker-eUQHDLki55T9Xc2XgQugwi,Hatmaker_sunyalb_0668A_10025,2009,,Deneen M. Hatmaker,Engineering Identity: The Negotiation Of Self Among Women Engineers
9932240058404808,Helbig-Q28kvAaDWGHnWFF3Vougi4,Helbig_sunyalb_0668A_10162,2009,,Natalie Christine Helbig,Thinking Beyond Performance Indicators: A Holistic Study Of Organizational Information Use
9932251460304808,Horwitz-kYuUQRxmx5ZoA9fcd85A2A,Horwitz_sunyalb_0668A_10093,2009,,Julie Elizabeth Horwitz,Boston Naming Test Performance In Young Adults:  An Investigation Of Ethnocultural And Educational Factors In Performance And Emotional Response
9932174959904808,Hou-CmJttZJ6HwVRTsQuSe7LQJ,Hou_sunyalb_0668A_10146,2009,,Jian Hou,"Measurement Of Atmospheric Ammonia Species: Development, Validation, And Field Applications Of An Analytical Method"
9932178144404808,Huang-gUWnm8qz4gmNdHAXq5YQeQ,Huang_sunyalb_0668A_10021,2009,,Yufan Huang,"Treatment Process In Youth Residential Treatment Centers (Rtcs):  The Congruence Of Youth'S Treatment Climate Perceptions And Treatment Interventions, And Its Impact On Treatment Outcomes"
9932177133104808,Jayaseelan-ViL9ryB8pnYPnuzRv4nHoJ,Jayaseelan_sunyalb_0668A_10088,2009,,Sabarinath Jayaseelan,Secondary Structures And Thermodynamic Properties Of Ampa Receptor Aptamers
9932173558204808,Johnson-64UDYcKFFpwfszSL7bCy6f,Johnson_sunyalb_0668A_10051,2009,,L Syd M. Johnson,Proactive Procreation: Ethical Implications Of New Genetic Technologies For Parental Obligations To Future Offspring
9932238659004808,Johnson_Jr-NtN2PESa7cczmCxKWcJcHs,JohnsonJr_sunyalb_0668A_10018,2009,,John Kendall Johnson Jr,Parliamentary Independence In Uganda And Kenya 1962-2008
9932177244104808,Jonik-VtKBsp48YiKmMiF9st5qVE,Jonik_sunyalb_0668A_10122,2009,,Michael Edmund Jonik,"A Natural History Of The Mind: Edwards, Emerson, Thoreau, Melville"
9932226057004808,Kaddar-LpSaxgLJ5uX5v8wpvAtykC,Kaddar_sunyalb_0668A_10060,2009,,Yoav Kaddar,Leadership As A Performing Art: Leadership Training Pedagogies As Found In Performing Arts Programs In Higher Education
9932240058004808,Kamya-Cwb4ux7uU5fFX4KnWbL64B,Kamya_sunyalb_0668A_10145,2009,,Moses M. Kamya,Developing An Enterprise Systems Appropriation Model In The Public Sector
9932200858804808,Kelly-Cirino-K3uf8MqFdLRHDEuYUKVHw7,KellyCirino_sunyalb_0668A_10019,2009,,Cassandra D. Kelly-Cirino,Identification Of B-Cell Epitopes On Domain 4 Of Anthrax Protective Antigen
9932240159404808,Kim-4mgFBSGuWnWR3LcZMEdEz5,Kim_sunyalb_0668A_10033,2009,,Hyunjung Kim,Qualitative Mapping For Understanding The Collective Judgment Building Process: A Study Of The Federal Open Market Committee
9932240358604808,Kim-M5FNc7ZUoctq4VU8jjBegU,Kim_sunyalb_0668A_10039,2009,,Do Han Kim,"Measuring Street-Level Bureaucrats' Use Of Behavioral Discretion Over Information, Transaction Costs, And Stigma In U.S. Welfare Policy Implementation: A Comparative Analysis Of Public Management In State And Local Government"
9932236058004808,Kolta-icpdbcejEG3YVjU4KC8R6Q,Kolta_sunyalb_0668A_10084,2009,,Michael Joseph Kolta,Machine Learned Melody Matching Using Strictly Relative Musical Abstractions
9932159049804808,Kristensen-46KjtHKz6JR4xmZRnWxdFg,Kristensen_sunyalb_0668A_10106,2009,,Ryan Tucker Kristensen,Application And Extension Of Glauber Ising-Spin Dynamics In The Context Of A Single Chain Magnet System
9932174359004808,Kruger-iREDPZ6HeEEUiKjqbZ7f2B,Kruger_sunyalb_0668A_10056,2009,,Pamela Catherine Kruger,Biomonitoring For Exposure To Trace Elements In Utero: Analysis Of The Human Placenta
9932238658804808,Lee-ahwwB8guAARKGKNFuzK4dX,Lee_sunyalb_0668A_10069,2009,,Ji-Yong Lee,"Varieties Of Marketization In China: The Impact Of Private Entrepreneurs, Local Governments, And State-Owned Enterprises"
9932177132704808,Lee-ny89aFAeXH6mkt4ywYVGfv,Lee_sunyalb_0668A_10071,2009,,Byunghoon Lee,Physical Properties Of Cytochromes C: 1. Role Of Cytochrome C&Rsquo; As A No Carrier 2. Folding Of Cytochrome C
9932235359604808,Lee-YsN2JnSyK4fuq9Knw2XU66,Lee_sunyalb_0668A_10085,2009,,Minsu Lee,The Influence Of Leader Behavior Patterns On Leader Effectiveness And Subordinate Satisfaction
9932241853804808,Lefevre-6bsHwoJkjJEDZonVbQn3qt,LeFevre_sunyalb_0668A_10153,2009,,Amy J. Lefevre,Observer Effects Of Non-Sexual Nipple Erection And Their Possible Reproductive Advantages In Human Females
9932226041804808,Lewis-S5PMFepNvsbAn8JSjwQ77f,Lewis_sunyalb_0668A_10075,2009,,Tisha Yvette Lewis,Family Literacy And Digital Literacies: A Redefined Approach To Examining Social Practices Of An African-American Family
9932236058104808,Liu-8FXyuSNVX82m6PB78K3Fy8,Liu_sunyalb_0668A_10119,2009,,Ting Liu,Bootstrapping Events And Relations From Text
9932240252604808,Lou-FEPS9wRRmmnNc7FfL3YFFD,Lou_sunyalb_0668A_10125,2009,,Lai Lei Lou,"Loneliness, Friendship, And Self-Esteem: First-Year College Students' Experience Of Using Facebook"
9932197853704808,Loucks-8RcfwF489VzdQT4KFmkDUe,Loucks_sunyalb_0668A_10014,2009,,Joleen Rennee Loucks,Adult Children'S Experiences Following Mid To Late Life Parental Divorce
9932225242704808,Luo-ekUyN5PiudNbHH23bs8NHy,Luo_sunyalb_0668A_10109,2009,,Wenli Luo,Variance - Mean Relationships To Analyze Large Survey Data With Application To Health Expenditure Data
9932113438304808,Lynn-RGNVEnb8dKTkh4cofv98zK,Lynn_sunyalb_0668A_10073,2009,,Christopher Dana Lynn,Glossolalia Influences On Stress Response Among Apostolic Pentecostals
9932206652104808,Maginnis-HmBUBXRZFkEnDQYrBLLcf3,Maginnis_sunyalb_0668A_10141,2009,,Jennifer Leigh Maginnis,The Relationship Clinical Faculty Training Has To Student Teacher Self-Efficacy
9932229858804808,Magnano-GZcoEtCmEKb2XWXRcEAVQ9,Magnano_sunyalb_0668A_10061,2009,,Julienne Magnano,Partners In Success:  A Social Work Intervention Fir Children With Emotional And Behavioral Disabilities
9932159049904808,Mainali-USuLvZS7zXhpVCD792UgsH,Mainali_sunyalb_0668A_10128,2009,,Laxman Mainali,"Multifrequency Epr Studies On Copper And Nitroxide Complexes Via Bayesian Inference, Density Functional Theory And Lineshape Analysis"
9932198943304808,Mandal-dnepNNuxgDBqdPWrsKFnZe,Mandal_sunyalb_0668A_10082,2009,,Arindam Mandal,Essays On The Macroeconomics Of Labor Markets
9932230058204808,Marks-ZCYPGCWcGY2QnBGFboFJmW,Marks_sunyalb_0668A_10090,2009,,Jenny Dillman Marks,The Psychotherapeutic Use Of Imaginal Dialogue
9932226044304808,Matheus-cvd6yPjUEQjbbVCcTbWBVK,Matheus_sunyalb_0668A_10135,2009,,Anne Berinato Matheus,Factors Affecting The Successful Use Of Web Sites
9932238959904808,Mauro-VJfc8GgRS72xn25m6vbHA7,Mauro_sunyalb_0668A_10107,2009,,Robert Marcello Mauro,The Practice Of Ideology: A Theory Of Ideology And Conceptual Analysis Of Irish Republicanism
9932178144204808,Meehan-e6hnDkVh55UfWzXpGkjQLN,Meehan_sunyalb_0668A_10159,2009,,Nathan Carl Meehan,Infected Justice: The Impact Of Hiv/Aids On The Police In Anglo-Phone Sub-Saharan Africa
990015013820204808,Mountain-7o2nrh5A4J7kHjQz6mPBL3,Mountain_sunyalb_0668A_10136,2009,,Leigh Ann Mountain,Evidence Based Videoconferencing: Results Of A Series Of Quasi-Experimental Replication Studies
9932240253004808,Mowry_Dobran-BfKCX9KZjNRoKpG5KsFyF3,MowryDobran_sunyalb_0668A_10036,2009,,Emily Susanne Mowry Dobran,The Effects Of Parental Influences On College Student  Normative Perceptions Of Peer Alcohol Use
9932226044504808,Mulki-E3XZCQSMr2VvJXhcuhAQcN,Mulki_sunyalb_0668A_10100,2009,,Fawzi H. Mulki,The Effects Of Leadership And Authority On Cross-Boundary Information Sharing In Response To Public Health Crises: A Comparative Study Between The United States And Jordan
9932241749904808,Nicklin-iC8LbjCBWDtcWA9bLxyFvm,Nicklin_sunyalb_0668A_10054,2009,,Jessica Michelle Nicklin,Effects Of Regulatory Focus And Counterfactual Thought On Goal Pursuit:  A Social Cognitive Perspective
9932238659604808,Nussbaum-EvSBuWvcLTmae8BDwSYjjK,Nussbaum_sunyalb_0668A_10117,2009,,Brian H. Nussbaum,"Protecting Global Cities: New York, London, And The Internationalization Of Urban Counterterrorism"
9932235660104808,O'Donnell-gsg4QVsxE9ntLoGVZvRLzr,ODonnell_sunyalb_0668A_10020,2009,,Mark Edward O'Donnell,The Influence Of Leader Behaviors On The Leader-Member Exchange Relationship
9932252959104808,O'Neill-WHYmrFzF8SmBfABctSwZfV,ONeill_sunyalb_0668A_10110,2009,,John Francis O'Neill,Toward A New Mystical Poetics Of God In The Post-Mortem Age: From God As The Supreme Being To God As The One-And-Only Being
